participant,line_num,label,image_clicked,trial_start_time,context_start_time,context_end_time,target_start_time,target_audio_start_time,target_audio_end_time,mouse_move,mouse_start_time,mouse_end_time,question_answer_time,trial_end_time
02A,181,Trial: 1,target,842101.4,843101.0,863922.1,864351.5,864382.0,866828.0,0,864351.9,868987.2,871217.3,871225.2
02A,354,Trial: 2,competitor,891622.0,892622.0,908204.1,908251.3,908283.0,910638.7,0,908251.7,911794.1,913441.7,913444.1
02A,495,Trial: 3,target,917374.9,918374.0,935820.2,937273.2,937304.0,939579.0,0,937273.5,940449.2,941968.5,941970.9
02A,601,Trial: 4,target,944762.2,945762.0,965621.1,965928.1,965955.0,968195.1,0,965928.5,969417.1,971064.1,971067.1
02A,757,Trial: 5,target,973016.7,974016.0,991976.0,992447.9,992476.0,994809.0,0,992448.3,995048.8,997873.0,997875.5
02A,928,Trial: 6,target,999736.9,1.000737e6,1.024422e6,1.024755e6,1.024787e6,1.027612e6,0,1.024756e6,1.02884e6,1.030952e6,1.030962e6
02A,1068,Trial: 7,target,1.033595e6,1.034595e6,1.054754e6,1.055128e6,1.055158e6,1.057622e6,0,1.055128e6,1.058504e6,1.060735e6,1.060737e6
02A,1169,Trial: 8,target,1.062934e6,1.063934e6,1.082441e6,1.083016e6,1.083049e6,1.085921e6,0,1.083016e6,1.086919e6,1.088335e6,1.088338e6
02A,1262,Trial: 9,target,1.090305e6,1.091305e6,1.105768e6,1.1062e6,1.10623e6,1.108757e6,0,1.1062e6,1.109295e6,1.110598e6,1.110601e6
02A,1455,Trial: 10,target,1.112538e6,1.113538e6,1.133573e6,1.134671e6,1.134701e6,1.136425e6,0,1.134672e6,1.137056e6,1.139534e6,1.139537e6
02A,1625,Trial: 11,target,1.14176e6,1.14276e6,1.164285e6,1.164711e6,1.164742e6,1.166983e6,0,1.164711e6,1.167232e6,1.169078e6,1.169082e6
02A,1741,Trial: 12,target,1.171399e6,1.172399e6,1.193748e6,1.194616e6,1.194653e6,1.196643e6,0,1.194617e6,1.197214e6,1.199261e6,1.199263e6
02A,1844,Trial: 13,target,1.201422e6,1.202422e6,1.225364e6,1.22574e6,1.225774e6,1.227815e6,0,1.22574e6,1.228069e6,1.229736e6,1.229745e6
02A,1959,Trial: 14,target,1.231544e6,1.232544e6,1.24723e6,1.247607e6,1.247635e6,1.249959e6,0,1.247607e6,1.250542e6,1.252247e6,1.252262e6
02A,2110,Trial: 15,target,1.254528e6,1.255528e6,1.282329e6,1.282649e6,1.282686e6,1.284838e6,0,1.28265e6,1.285398e6,1.288053e6,1.288055e6
02A,2198,Trial: 16,target,1.290022e6,1.291022e6,1.309065e6,1.30952e6,1.309547e6,1.312454e6,0,1.30952e6,1.313053e6,1.314869e6,1.314871e6
02A,2356,Trial: 17,target,1.316792e6,1.317792e6,1.337044e6,1.337541e6,1.337578e6,1.339695e6,0,1.337541e6,1.340198e6,1.342212e6,1.342215e6
02A,2479,Trial: 18,target,1.344046e6,1.345046e6,1.375398e6,1.37657e6,1.376599e6,1.378574e6,0,1.376571e6,1.379244e6,1.381228e6,1.38123e6
02A,2603,Trial: 19,target,1.383075e6,1.384075e6,1.406365e6,1.406876e6,1.40691e6,1.408663e6,0,1.406877e6,1.409275e6,1.41102e6,1.411022e6
02A,2718,Trial: 20,target,1.412781e6,1.413781e6,1.438539e6,1.438967e6,1.439001e6,1.441667e6,0,1.438968e6,1.441955e6,1.44345e6,1.443456e6
02A,2823,Trial: 21,target,1.445272e6,1.446272e6,1.469443e6,1.46979e6,1.469822e6,1.471852e6,0,1.469791e6,1.472194e6,1.474396e6,1.474412e6
02A,2949,Trial: 22,target,1.476179e6,1.477179e6,1.496921e6,1.497261e6,1.497293e6,1.499561e6,0,1.497262e6,1.499745e6,1.501529e6,1.501533e6
02A,3049,Trial: 23,target,1.503699e6,1.504699e6,1.525536e6,1.525883e6,1.525914e6,1.528186e6,0,1.525883e6,1.52901e6,1.530841e6,1.530843e6
